"Country","Democracy Score","Electoral processand pluralism","Functioning of government","Political participation","Political culture","Civil liberties","Regime type","Region","Changes from last year"
" Norway","9.87","10.00","9.64","10.00","10.00","9.71","Full democracy","Western Europe","Score: Rank:"
" Iceland","9.58","10.00","9.29","8.89","10.00","9.71","Full democracy","Western Europe","Score: Rank:"
" Sweden","9.39","9.58","9.64","8.33","10.00","9.41","Full democracy","Western Europe","Score: Rank:"
" New Zealand","9.26","10.00","9.29","8.89","8.13","10.00","Full democracy","Asia & Australasia","Score: Rank:"
" Finland","9.25","10.00","8.93","8.89","8.75","9.71","Full democracy","Western Europe","Score:  0.11Rank:  3"
" Ireland","9.24","10.00","7.86","8.33","10.00","10.00","Full democracy","Western Europe","Score:  0.09Rank:"
" Denmark","9.22","10.00","9.29","8.33","9.38","9.12","Full democracy","Western Europe","Score: Rank:  2"
" Canada","9.22","9.58","9.64","7.78","9.38","9.71","Full democracy","North America","Score:  0.07Rank:  1"
" Australia","9.09","10.00","8.93","7.78","8.75","10.00","Full democracy","Asia & Australasia","Score: Rank:"
"  Switzerland","9.03","9.58","9.29","7.78","9.38","9.12","Full democracy","Western Europe","Score: Rank:"
" Netherlands","9.01","9.58","9.29","8.33","8.75","9.12","Full democracy","Western Europe","Score:  0.12Rank:"
" Luxembourg","8.81","10.00","8.93","6.67","8.75","9.71","Full democracy","Western Europe","Score: Rank:"
" Germany","8.68","9.58","8.57","8.33","7.50","9.41","Full democracy","Western Europe","Score: Rank:"
" United Kingdom","8.52","9.58","7.50","8.89","7.50","9.12","Full democracy","Western Europe","Score:  0.01Rank:"
" Uruguay","8.38","10.00","8.57","6.11","7.50","9.71","Full democracy","Latin America","Score: Rank:"
" Austria","8.29","9.58","7.86","8.33","6.88","8.82","Full democracy","Western Europe","Score: Rank:"
" Spain","8.29","9.58","7.14","7.78","8.13","8.82","Full democracy","Western Europe","Score:  0.11Rank:  3"
" Mauritius","8.22","9.17","8.21","5.56","8.75","9.41","Full democracy","Sub-Saharan Africa","Score: Rank:  1"
" Costa Rica","8.13","9.58","7.50","6.67","7.50","9.41","Full democracy","Latin America","Score:  0.06Rank:  1"
" France","8.12","9.58","7.86","7.78","6.88","8.53","Full democracy","Western Europe","Score:  0.32Rank:  9"
" Chile","8.08","9.58","8.57","5.00","8.13","9.12","Full democracy","Latin America","Score:  0.11Rank:  2"
" Portugal","8.03","9.58","7.86","6.11","7.50","9.12","Full democracy","Western Europe","Score:  0.19Rank:  5"
" South Korea","8.00","9.17","7.86","7.22","7.50","8.24","Flawed democracy","Asia & Australasia","Score: Rank:  2"
" Japan","7.99","8.75","8.21","6.67","7.50","8.82","Flawed democracy","Asia & Australasia","Score: Rank:  2"
