"Country","GDP - per capita (PPP)","DateInfo"
"Liechtenstein","139100","2009"
"Qatar","124100","2017"
"Macau","122000","2018"
"Monaco","115700","2015"
"Luxembourg","105100","2017"
"Bermuda","99400","2016"
"Singapore","94100","2017"
"Isle of Man","84600","2014"
"Brunei","78900","2017"
"Ireland","73200","2017"
"Norway","72100","2017"
"Falkland Islands (Islas Malvinas)","70800","2015"
"United Arab Emirates","68600","2017"
"Sint Maarten","66800","2014"
"Kuwait","65800","2017"
"Hong Kong","64500","2018"
"Switzerland","62100","2017"
"Gibraltar","61700","2014"
"United States","59800","2017"
"San Marino","59000","2017"
"Jersey","56600","2016"
"Saudi Arabia","54500","2017"
"Netherlands","53900","2017"
"Guernsey","52500","2014"
"Iceland","52200","2017"
"Sweden","51200","2017"
"Germany","50800","2017"
"Taiwan","50500","2017"
"Australia","50400","2017"
"Denmark","50100","2017"
"Austria","50000","2017"
"Andorra","49900","2015"
"Bahrain","49000","2017"
"Canada","48400","2017"
"Belgium","46600","2017"
"Saint Pierre and Miquelon","46200","2006"
"Oman","46000","2017"
"Finland","44500","2017"
"United Kingdom","44300","2017"
"France","44100","2017"
"Cayman Islands","43800","2004"
"Japan","42900","2017"
"Malta","41900","2017"
"Greenland","41800","2015"
"Faroe Islands","40000","2014"
"Korea, South","39500","2017"
"Puerto Rico","39400","2017"
"New Zealand","39000","2017"
"Spain","38400","2017"
"Italy","38200","2017"
"Aruba","37500","2017"
"Equatorial Guinea","37400","2017"
"Cyprus","37200","2017"
"Virgin Islands","37000","2016"
"Israel","36400","2017"
"Guam","35600","2016"
"Czechia","35500","2017"
"Slovenia","34500","2017"
"British Virgin Islands","34200","2017"
"Montserrat","34000","2011"
"Slovakia","33100","2017"
"Bahamas, The","32400","2017"
"Lithuania","32400","2017"
"Estonia","31700","2017"
"Trinidad and Tobago","31300","2017"
"New Caledonia","31100","2015"
"Portugal","30500","2017"
"Hungary","29600","2017"
"Poland","29600","2017"
"Seychelles","29300","2017"
"Malaysia","29100","2017"
"Turks and Caicos Islands","29100","2007"
"Saint Kitts and Nevis","28200","2017"
"Russia","27900","2017"
